"Frankies Italian Restaurant & Grill
",Farimont Bab Al Bahr,Abu Dhabi,02-6543333,62920,/frankies-italian-restaurant-grill-175698.html
"Fresh & Easy (The Barakat Shop)
","Jumeirah Road, Opposite City Bank",Dubai,04-2272528,96703,/fresh-easy-the-barakat-shop--175570.html
"Fresh & More Cafeteria & Grill
",Khalifa 11,Abu Dhabi,02-5521199,96703,/fresh-more-cafeteria-grill-145640.html
"Friday's
",Near Lighthouse Community Psychological Clinic,Dubai,600-523334,6319,/friday-s-150962.html
"Frutti Juice
","Damascus St, Al Qusais",Dubai,04-3284371,281066,/frutti-juice-175562.html
"Fusion Caffe LLC
",Al Nahda 1,Abu Dhabi,02-4058678,33779,/fusion-caffe-llc-164801.html
Name,Location,City,Phone,P.O BOX,Companylink
"Gillys Restaurant
",Behind Fresh & More Supermarket,Abu Dhabi,02-6712050,51043,/gillys-restaurant-175530.html
"Ginny's Restaurant and Confectionery
","9, Al Zara Bldg, Khalid Bin Walid St, Bur Dubai",Dubai,050-8644909,20199,/ginny-s-restaurant-and-confectionery-114283.html
"Giornotte
","Ritz Carlton, Al Maqta",Abu Dhabi,04-3931876,11311,/giornotte-175699.html
"Go Thai
","Talal Belhoul Building, Opp NMC Hosp, Bhnd Sahara Centre, Al Nahda",Dubai,02-8188888,48300,/go-thai-175291.html
"Goa Coastal Curries
","Near Dubai Islamic Bank, Karama",Dubai,04-2506111,73145,/goa-coastal-curries-163102.html
"Golden Burger Restaurant and Internet Cafe
","Abraj Centre, Sabakha Bus Stand, Deira",Dubai,052-9866084,2044,/golden-burger-restaurant-and-internet-cafe-145246.html
"Golden Chariot Confectionery
","Near Grand Hotel, Al Qusais",Dubai,04-3795238,13951,/golden-chariot-confectionery-175220.html
"Golden Crown Restaurant
",Hamdan St,Abu Dhabi,04-2277941,192078,/golden-crown-restaurant-116101.html
"Golden Dragon Restaurant
","Trade Centre Road, Karama",Dubai,04-2582050,43750,/golden-dragon-restaurant-26199.html
"Golden Fork Group
","Al Owasis Bldg, Al Rigga Rd",Dubai,050-3988826,65653,/golden-fork-group-117725.html
"Golden Jabal Al Noor Fast Food LLC
","Near Canadian Hosp, Mamzar Centre",Dubai,02-6772828,30985,/golden-jabal-al-noor-fast-food-llc-175309.html
"Golden Palace Mandi Restaurant
","Bhnd NMC Hosp, Al Nahda 2",Dubai,04-3967788,30985,/golden-palace-mandi-restaurant-175241.html
"Golden Seashell LLC
",Satwa,Dubai,04-2239233,119943,/golden-seashell-llc-147778.html
"Golden Spoon Vegetarian Restaurant
",Madinat Zayed,Abu Dhabi,04-2692979,4561,/golden-spoon-vegetarian-restaurant-115413.html
Name,Location,City,Phone,P.O BOX,Companylink
"Grand Central Restaurant
",Muroor Street,Abu Dhabi,02-6426499,500003,/grand-central-restaurant-175652.html
"Grand Restaurant
",Discovery Gardens,Sharjah,06-5652080,87565,/grand-restaurant-112183.html
"Grecian Grill Restaurant
","Opp Citymax, Barsha 1",Dubai,04-5531335,1875,/grecian-grill-restaurant-176018.html
"Green Chillies Restaurant
","Al Noor Building, Behind Sahara Center",Dubai,04-4456789,643982,/green-chillies-restaurant-147693.html
"Green Lagoon Restaurant
","Behind Emirates NBD, Near Colours Hyper Market",Dubai,04-3792440,24454,/green-lagoon-restaurant-175353.html
Name,Location,City,Phone,P.O BOX,Companylink
"Haji Sahab Restaurant
","1 B, Discovery Gardens",Dubai,04-4279602,43695,/haji-sahab-restaurant-176114.html
"Hanoi
",Khalifa St,Abu Dhabi,02-6261112,28650,/hanoi-146015.html
"Hapi Cafe
",Al Quoz,Dubai,04-2251807,2316,/hapi-cafe-175760.html
"Happy Malabar Cafe & Restaurant
","Near Karachi Darbar, Satwa",Dubai,04-3234322,1026,/happy-malabar-cafe-restaurant-175318.html
"Haram Restaurant
",Near Satwa Bus Stand,Dubai,052-4900386,9277,/haram-restaurant-175317.html
"Hard Walls
",Corniche Rd,Abu Dhabi,04-3317799,33066,/hard-walls-127321.html
"Hari Restaurant
","Opp Liberty S/Room, New Double Cola Rd",Sharjah,02-6814200,11401,/hari-restaurant-128589.html
"Haseen Rest and Mini Market
","R/A 8, Jebel Ali Free Zone",Jebel Ali,06-5338414,165,/haseen-rest-and-mini-market-126508.html
Name,Location,City,Phone,P.O BOX,Companylink
"Hot Burger Restaurant
","Near Abu Shagara Park, Abu Shagara",Sharjah,06-5557800,35004,/hot-burger-restaurant-146789.html
"Hot Food Restaurant & Catering
",Mussafah 11,Abu Dhabi,055-9788931,26913,/hot-food-restaurant-catering-145670.html
"Hum Yum Restaurant
","Lighthouse Community Psychological Clinic, Jumeira Beach Road",Dubai,02-5520500,40994,/hum-yum-restaurant-175538.html
"Humpty Dumpty Restaurant LLC
","Opp Burjuman Business Towers, Near FNS Cafe, Karama",Dubai,04-3883332,38423,/humpty-dumpty-restaurant-llc-175286.html
"Hyderabad Star Restaurant
","Near Etisalat, Electra Street",Abu Dhabi,04-3995786,26016,/hyderabad-star-restaurant-175541.html
"Hyson Restaurent
",Satwa,Dubai,056-8853308,52044,/hyson-restaurent-143788.html
Name,Location,City,Phone,P.O BOX,Companylink
"Iqbal Restaurant
",Hamdan St,Abu Dhabi,02-6727224,46695,/iqbal-restaurant-138795.html
"Iran Zamin Restaurant
","Sheikh Mohammed Bin Boulevard Centre, Downtown",Dubai,04-4476655,42317,/iran-zamin-restaurant-126381.html
"Irish Village
",Garhoud,Dubai,04-2824750,32890,/irish-village-175621.html
"Isfahan Night Restaurant
",Old Airport Rd,Abu Dhabi,02-4466122,4441,/isfahan-night-restaurant-142505.html
"Isfahan Restaurant
","Near Sharjah Cinema, Mina St",Sharjah,06-5697727,72730,/isfahan-restaurant-129546.html
"Istanboul Flower Restaurant & Cafeteria
",Shk Zayed Rd,Dubai,04-3434585,72730,/istanboul-flower-restaurant-cafeteria-151050.html
"Istanbouli Restaurant
","64, Food Court, Al Razi Bldg, DHCC",Abu Dhabi,02-6212557,239287,/istanbouli-restaurant-145582.html
"Istanbul Flower Restaurant and Cafeteria
","Gate Building, Near to Burj 2000 Bldg, Rolla",Dubai,04-4495330,51777,/istanbul-flower-restaurant-and-cafeteria-115876.html
"ITC Restaurant
","Baghdad St, Al Qusais",Sharjah,06-5635017,3796,/itc-restaurant-144051.html
"Its Malabar Restaurant LLC
","Emaar Building, Near Spinneys, Marina Walk",Dubai,04-2520004,3987,/its-malabar-restaurant-llc-175252.html
"Itsu
",Jumeira 1,Dubai,050-5832495,20899,/itsu-175639.html
Name,Location,City,Phone,P.O BOX,Companylink
"Jedoudna Restaurant
","Shop No. 12, Rimal Hotel, JBR",Dubai,04-4230766,46528,/jedoudna-restaurant-175640.html
"Jesir Al Madinah Cafeteria
","Near Al Manama Hypermarket, Opposite Traffic Police Office",Sharjah,06-5480426,12516,/jesir-al-madinah-cafeteria-175367.html
"Jetty Lounge
","One & Only Royal Mirage, Sufouh",Dubai,052-3013046,75256,/jetty-lounge-175761.html
"Jharokha Indian & Chinese Restaurant
","Shop 15, Jumeirah Bay Tower, X2, JLT",Dubai,04-3999999,184934,/jharokha-indian-chinese-restaurant-175313.html
"Jimma Cafe
",Deira,Dubai,04-3619601,65892,/jimma-cafe-175762.html
"Jims Kitchen Table
",Masdar City,Abu Dhabi,04-2717610,391143,/jims-kitchen-table-175654.html
Name,Location,City,Phone,P.O BOX,Companylink
"Kabul Darbar Restaurant
","Naif Rd, Deira",Dubai,04-2394445,4895,/kabul-darbar-restaurant-175305.html
"Kaffa Beans
",Dubai Silicon Oasis,Dubai,052-8999191,106854,/kaffa-beans-175281.html
"Kairali Restaurant
","Al Rayan Hotel Bldg, Abubaker Al Siddiq St, Al Nakheel",Ajman,04-3312204,28106,/kairali-restaurant-150832.html
"Kalispera Cafe
",Defense Rd,Abu Dhabi,052-3876140,111488,/kalispera-cafe-131700.html
"Kamat
","Ground Level, Bay Avenue, Executive Towers G, Business Bay",Dubai,06-7457676,6120,/kamat-104878.html
"Kanzaman Restaurant
",Al Shindaga Heritage Village,Dubai,02-6418283,242927,/kanzaman-restaurant-127905.html
"Karachi Golden Restaurant & Cafeteria
",Bhnd Hor Al Anz Park,Dubai,04-4535471,32765,/karachi-golden-restaurant-cafeteria-147389.html
"Karachi Inn Restaurant LLC
",Al Qusais Indl Area 3,Dubai,04-3342243,5617,/karachi-inn-restaurant-llc-142826.html
"Karachi Restaurant
","Shop 1, Al Fahidi Souq, Bur Dubai",Dubai,04-2689100,237876,/karachi-restaurant-106477.html
"Karaikudi Aachi Restaurant & Sweets LLC
","Bhnd NMC Hosp, Al Nahda 2, Al Qusais",Dubai,04-3598200,150020,/karaikudi-aachi-restaurant-sweets-llc-175294.html
"Karak Time Cafeteria
","Hamdan Colony, Karama",Dubai,04-2673131,1453,/karak-time-cafeteria-175244.html
Name,Location,City,Phone,P.O BOX,Companylink
"Khanji Restaurant
","Behind Al Masah Crystal, Al Wahda Road, Abu Shagara",Sharjah,06-5770177,114545,/khanji-restaurant-175592.html
"Khater Mirch Masala Restaurant LLC
",Karama,Dubai,056-1672353,25579,/khater-mirch-masala-restaurant-llc-120924.html
"Khazana
","Bhnd American Hospital, Oud Metha Rd",Dubai,04-3344334,3720,/khazana-130529.html
"Khebz and Meleh Restaurent
",Tawwon,Sharjah,04-3360061,554509,/khebz-and-meleh-restaurent-170551.html
"Khoory Kabab Restaurant
","Near Al Manar Hotel, Behind Abjar Grand Hotel, Abu Hail",Dubai,06-5255262,26952,/khoory-kabab-restaurant-175598.html
"King Chef Restaurant
","Near Al Shirawi Ent, Noor Islamic Metro Station, Al Quoz",Dubai,056-7173371,81445,/king-chef-restaurant-146539.html
"King Karak Cafe
","Behind Honda Showroom, Electra Street",Abu Dhabi,04-2666322,51887,/king-karak-cafe-175495.html
Name,Location,City,Phone,P.O BOX,Companylink
"Kuwaiti Restaurant
",Dibba Al Hassan,Fujairah,09-2443599,12068,/kuwaiti-restaurant-122077.html
"La Brioche
",Marina Mall,Abu Dhabi,02-6815531,47838,/la-brioche-145583.html
"La Fontana Cafe
",Hamdan St,Abu Dhabi,02-6779500,32430,/la-fontana-cafe-121306.html
"La Mamma
",Sheraton. Al Markaziyah,Abu Dhabi,02-6970238,1164,/la-mamma-175705.html
"La Parilla
",Jumeirah Beach Hotel,Dubai,04-3480000,393878,/la-parilla-67725.html
"La Piazza/Coffee Shop - Sands Hotel
","Near Emirates Gen Market, Electra St",Abu Dhabi,02-6335335,183721,/la-piazza-coffee-shop-sands-hotel-111921.html
"La Rosa Restaurant and Cafe
","Al Zarooni Building, Near Al Rigga Metro Station, Al Rigga",Dubai,04-2278483,68573,/la-rosa-restaurant-and-cafe-175233.html
"Labour Power Restaurant
","Near Grand Mini Mall, Jebel Ali Indl Area 2",Jebel Ali,056-6901680,109189,/labour-power-restaurant-102817.html
Name,Location,City,Phone,P.O BOX,Companylink
"Le Beaujolais
",Hamdan Street,Abu Dhabi,02-6333555,45595,/le-beaujolais-175655.html
"Lebanese Mill Restaurant
",Passport Road,Abu Dhabi,02-6419996,206,/lebanese-mill-restaurant-175524.html
"Lebanese Roaster
","G Flr, Al Futtaim Bldg, Opp Deira Water Tank, Deira",Dubai,04-2285905,8586,/lebanese-roaster-105716.html
Name,Location,City,Phone,P.O BOX,Companylink
"Madina Flowers Restaurant
","Between Lal's S/Market & Iranian Hospital, Satwa",Dubai,04-3497126,23118,/madina-flowers-restaurant-140099.html
"Madina Islamabad Restaurant
",Abu Shagara,Sharjah,06-5598846,127473,/madina-islamabad-restaurant-175368.html
"Madinat Salwa Restaurant
","Opp Zulekha Hospital, Al Butina",Sharjah,055-7807047,50253,/madinat-salwa-restaurant-146790.html
"Madras Star Vegetarian Restaurant
",Deira,Dubai,06-5212042,4751,/madras-star-vegetarian-restaurant-107190.html
"Madras Vegetarian Restaurant LLC
","Near Abu Hail Metro Station, Deira",Dubai,04-2660043,25708,/madras-vegetarian-restaurant-llc-105432.html
Name,Location,City,Phone,P.O BOX,Companylink
"Manvaar Restaurant LLC
","Millenium Hotel Abu Dhabi, Khalifa St.",Dubai,04-3368332,49936,/manvaar-restaurant-llc-141349.html
"Marakesh
",Farimont Bab Al Bahr,Abu Dhabi,02-6146000,44044,/marakesh-101137.html
"Marco Pierre White Steakhouse & Grill
",Al Garhoud,Abu Dhabi,02-6543333,50156,/marco-pierre-white-steakhouse-grill-175737.html
"Mareb Mandi Restaurant
",Jumeirah,Dubai,04-2955590,233891,/mareb-mandi-restaurant-175553.html
"Maria Bonita Taco Shop & Grill
",Corniche,Dubai,04-3955576,1492,/maria-bonita-taco-shop-grill-175766.html
"Marina Al Bateen Resort
","Le Royal Meridian, Al Markaziyah",Abu Dhabi,02-6651516,34836,/marina-al-bateen-resort-133846.html
"Market Kitchen
",Jumeirah Beach Rd,Abu Dhabi,02-6742020,93576,/market-kitchen-175708.html
"Marwan Murad Restaurant
",Deira,Dubai,04-3453419,294912,/marwan-murad-restaurant-138093.html
"Masco Group
",Qusais,Dubai,04-2943533,24119,/masco-group-161565.html
"Mashhad Restaurant
","City Tower 2, Shk Zayed Road",Dubai,04-2671445,34722,/mashhad-restaurant-175322.html
Name,Location,City,Phone,P.O BOX,Companylink
"Memsaab Restaurant
",JLT,Dubai,04-4429816,45076,/memsaab-restaurant-175767.html
"Meshmesh Pizzeria
",Bur Dubai,Abu Dhabi,02-6765478,1038,/meshmesh-pizzeria-175499.html
"Mezbaan Hyderabad Restaurant
","Emirates Palace Hotel, Ras Al Akhdar",Dubai,04-3517863,184341,/mezbaan-hyderabad-restaurant-106308.html
"Mezlai
","Emirates Palace, Al Ras Al Akhdar",Abu Dhabi,02-6909000,487497,/mezlai-175710.html
"Mezzaluna
","Al Diyafa St, Satwa",Abu Dhabi,02-6907999,500069,/mezzaluna-175738.html
"Mini Chinese Restaurant
","Bhnd Natl Bank of Dubai, Al Fahidi St, Bur Dubai",Dubai,04-3459976,60680,/mini-chinese-restaurant-105465.html
"Mini Punjab Restaurant
",Discovery Gardens,Dubai,04-3515436,52203,/mini-punjab-restaurant-135912.html
"Mint and Olive Restaurant
",Jumeirah,Dubai,04-4409844,5748,/mint-and-olive-restaurant-147253.html
Name,Location,City,Phone,P.O BOX,Companylink
"Moylos Burgers
","Near Sunset Mall, Jumeirah Beach Road",Dubai,04-3883140,11204,/moylos-burgers-175555.html
"Mr Shawerma Restaurant
",Abu Hail,Dubai,04-2626900,123481,/mr-shawerma-restaurant-175307.html
"Mubarak Salem Saeed Restaurant
",Hor Al Anz,Dubai,055-4451171,8605,/mubarak-salem-saeed-restaurant-116697.html
Name,Location,City,Phone,P.O BOX,Companylink
"Nahaam
","Jumeirah Al Etihad Towers, Al khubeirah",Abu Dhabi,02-8115555,25634,/nahaam-175711.html
"Nalan Restaurant LLC
","Burjuman Centre, Khalid Bin Al Waleed Road, Bur Dubai",Dubai,04-3541900,718,/nalan-restaurant-llc-178638.html
"Nalas Aappakadai Chettinad Restaurant LLC
",Old Airport Rd,Abu Dhabi,050-7941900,29877,/nalas-aappakadai-chettinad-restaurant-llc-146541.html
"Nasar Restaurant
",TCA,Abu Dhabi,02-6721500,30884,/nasar-restaurant-141299.html
"Nasr Restaurant & Grill
","Near Hilton Hotel, Khorfakkan Rd",Abu Dhabi,02-6210482,43263,/nasr-restaurant-grill-145510.html
"National Restaurant
","Al Ain Centre (Computer Plaza), Bur Dubai",Fujairah,02-6444228,31912,/national-restaurant-121119.html
"Nawab Restaurant
","Ramla Mall Food Court, DIP",Dubai,09-2222753,252,/nawab-restaurant-130832.html
"Neelgiris Vegetarian Restaurant
",Dubai Marina,Jebel Ali,04-3599884,56296,/neelgiris-vegetarian-restaurant-146563.html
"Nell Gwynns
","Al Fattan Bldg, Opp Nihal, Al Qusais",Dubai,04-8847644,11059,/nell-gwynns-175769.html
"Nellara Restaurant LLC
","Bhnd Raffa Police Stn, Near Golden Fork, Bur Dubai",Dubai,04-4488222,34685,/nellara-restaurant-llc-143857.html
"New Bawarchi Restaurant
",Al Falah Street,Dubai,04-2806444,15283,/new-bawarchi-restaurant-175295.html
Name,Location,City,Phone,P.O BOX,Companylink
"New Sagar Restaurant LLC
",Mussafah,Abu Dhabi,02-5531180,14516,/new-sagar-restaurant-llc-147966.html
"New Times Restaurant
","Near Clock Tower, Deira",Dubai,04-2501888,72788,/new-times-restaurant-152365.html
"New York Pizza
",Al Qasba,Sharjah,06-5566262,29033,/new-york-pizza-147579.html
"Nice Burger Restaurant
","Sundos Al Nahda Bldg, NMC Hospital Rd, Al Nahda",Dubai,04-2582007,38569,/nice-burger-restaurant-175229.html
"Nihal Restaurant
",Electra St,Abu Dhabi,055-3582326,36700,/nihal-restaurant-114926.html
"Nila Restaurant
","Near Safeer Mall, Industrial Area 7",Sharjah,02-6318088,8879,/nila-restaurant-144081.html
"Ninar Coffee Shop and Restaurant
",Khalifa St,Abu Dhabi,06-5300230,232852,/ninar-coffee-shop-and-restaurant-118411.html
"Nineteen
",Emirates Hills,Dubai,02-6722267,184513,/nineteen-122101.html
"Noble Restaurant & Catering Srvcs LLC
",Al Bandar,Abu Dhabi,04-3905600,5802,/noble-restaurant-catering-srvcs-llc-148667.html
"Nolus Cafe
",Dubai Mall,Abu Dhabi,02-5509292,212428,/nolus-cafe-175657.html
Name,Location,City,Phone,P.O BOX,Companylink
"Olives
",Al Maqta,Abu Dhabi,02-4041941,4172,/olives-175712.html
"Omar Al Khayyam Restaurant
","Next to Lulu Centre, Rolla",Sharjah,06-5654629,12103,/omar-al-khayyam-restaurant-110615.html
"Omar Al Khayyam Restaurant and Cafeteria
",Dibba Al Hassan,Fujairah,09-2442343,1451,/omar-al-khayyam-restaurant-and-cafeteria-121148.html
"Omar Khayyam Restaurant
","Opp RAK Bank, Saba St",Ras Al Khaimah,07-2332824,58,/omar-khayyam-restaurant-139806.html
"Onam Restaurant
","Near Arabian Travels, Rolla",Sharjah,06-5615330,53677,/onam-restaurant-129349.html
"Opasta
","Gold Crest Tower, JLT",Dubai,04-3686332,9668,/opasta-147694.html
"Open House Restaurant
",Karama,Dubai,04-3965481,52139,/open-house-restaurant-120128.html
"Operation Falafel
",Garhoud,Dubai,600530006,29674,/operation-falafel-175546.html
"Options
",The Greens,Dubai,04-3293293,211188,/options-149601.html
Name,Location,City,Phone,P.O BOX,Companylink
"Pak Al Safa Restaurant LLC
","Near Marco Polo Hotel, Al Muteena St, Deira",Dubai,04-2727323,40577,/pak-al-safa-restaurant-llc-175219.html
"Pak Darbar Restaurant
",Al Nahda,Dubai,056-2355825,33779,/pak-darbar-restaurant-175211.html
"Pak Khyber Darbar Restaurant
","Al Muteena St, Deira",Dubai,04-2206050,27540,/pak-khyber-darbar-restaurant-175242.html
Name,Location,City,Phone,P.O BOX,Companylink
"Parkers Cafe
",Al Mushrif,Abu Dhabi,050-6255563,2316,/parkers-cafe-175658.html
"Pastry Hayakil Baalabak
",Al Nahda,Sharjah,06-5543111,33779,/pastry-hayakil-baalabak-147397.html
"Patan Restaurant
","Opp Veg Market, Near Enoc, Ras Al Khor",Dubai,04-3206366,46628,/patan-restaurant-175327.html
"Paul Cafe
",Baniyas,Abu Dhabi,02-5828300,31727,/paul-cafe-175659.html
"Pearl View Restaurant & Cafeteria LLC
","Al Zaroni Bldg, Bhnd Mall of Emirates, Al Barsha",Dubai,04-3549004,12235,/pearl-view-restaurant-cafeteria-llc-146031.html
"Peepees Restaurant
",Jebel Ali,Jebel Ali,04-8834838,128354,/peepees-restaurant-148018.html
"Peppar - Paragon Group
","Bhnd Mall, ",Sharjah,06-5734647,42757,/peppar-paragon-group-68559.html
"Pepper Mill
","4th Floor, Block C, Tower Y",Abu Dhabi,050-1659597,4893,/pepper-mill-176379.html
"Perfect Biriyani House Restaurant
","Behind Al Ain Tower, Hamdan Street",Abu Dhabi,02-6156000,11416,/perfect-biriyani-house-restaurant-175532.html
Name,Location,City,Phone,P.O BOX,Companylink
"Pranavam Cafeteria
",Satwa,Dubai,04-3312243,22700,/pranavam-cafeteria-145702.html
"Pulp Juice Bars
","Bahar Bldg, JBR",Dubai,04-4364192,51745,/pulp-juice-bars-146467.html
"Pumpy's Restaurant
","Next to Middle East Bank, Khalid Bin Walid Road, Bur Dubai",Dubai,04-3528484,1338,/pumpy-s-restaurant-35883.html
"Punjab Grill
","Venetian Village, Al Maqta",Abu Dhabi,02-4087201,45068,/punjab-grill-175715.html
"Punjab Restaurant
","Al Ghowair Market, Rolla",Sharjah,06-5623835,51579,/punjab-restaurant-132028.html
"Puranmal Restaurant
",Bur Dubai,Dubai,04-3937701,84907,/puranmal-restaurant-145004.html
"Pushkin
","Jumeirah Beach Residence, Dubai Marina",Dubai,04-4270268,13132,/pushkin-67766.html
"Qasr Al Khaleej Restaurant
",Al Muroor,Sharjah,06-5508992,11171,/qasr-al-khaleej-restaurant-147324.html
"Qiso Cafe
",Damascus St,Dubai,04-3212127,237796,/qiso-cafe-175334.html
"Quest Restaurants Management
",JAFZA,Abu Dhabi,02-6418300,22196,/quest-restaurants-management-163806.html
"Quick Bite Rest LLC
","Plaza Level, Bahar Section, The Walk",Dubai,04-2637888,6479,/quick-bite-rest-llc-130920.html
"Quizno'S Subs
","Al Murakabat Rd, Near Clock Tower, Deira",Jebel Ali,04-8872280,4561,/quizno-s-subs-151270.html
Name,Location,City,Phone,P.O BOX,Companylink
"Rainbow Steak House
",Mussafah,Abu Dhabi,02-5526606,46663,/rainbow-steak-house-147722.html
"Rainbow Steak House and Catering Services Company LLC
","M 40, Musaffah",Abu Dhabi,02-6333434,28629,/rainbow-steak-house-and-catering-services-company-llc-116168.html
"Rainbow Steak House Restaurant
",Al Qasimia St,Sharjah,06-5723505,11201,/rainbow-steak-house-restaurant-147201.html
"Rashed Al Katheeri Mandi Restaurant
","Beside Zulekha Hospital, Zahara St, Al Nasryah",Sharjah,06-5654051,16449,/rashed-al-katheeri-mandi-restaurant-109068.html
"Rawabina Restaurant
",Al Garhoud,Dubai,04-2981447,450103,/rawabina-restaurant-175559.html
"Rawal Restaurant
",Hor Al Anz,Dubai,04-2979144,56277,/rawal-restaurant-118125.html
"Rays Grill
","Jumeirah Al Etihad Towers, Al Khubeirah",Abu Dhabi,02-8115666,55505,/rays-grill-175716.html
"Real Taste Cafeteria
","Near Emirates Plaza Hotel, TCA",Abu Dhabi,02-6411007,9623,/real-taste-cafeteria-175549.html
"Red Roaster
","27-28, Salem Shk Bldg, Satwa",Dubai,052-6960600,105671,/red-roaster-175341.html
"Red Table Iranian Restaurant
","Khalfan Bin Jamber building, Al Muteena Street, Deira",Dubai,04-3855999,126624,/red-table-restaurant-35716.html
Name,Location,City,Phone,P.O BOX,Companylink
"Ritaj Restaurant
",Electra St,Abu Dhabi,02-6310036,27034,/ritaj-restaurant-146543.html
"Rite Bite
","Opp Day to Day, Near Post Office, Karama",Dubai,04-3576306,44044,/rite-bite-68552.html
"Riviera Italian Restaurant
",Al Bateen,Abu Dhabi,02-6650144,16515,/riviera-italian-restaurant-118055.html
"Robertos
","Bhnd Al Mamzar Bldg, Hor Al Anz East, Deira",Dubai,04-3860066,26816,/robertos-175646.html
"Robyan Restaurant
","Opp Burjuman Centre, Trade Centre Rd, Karama",Dubai,04-2977474,211188,/robyan-restaurant-175205.html
"Rock Bottom - Regent Palace Hotel
","Beach Rotana, Al Zahiyah",Dubai,056-7425888,33716,/rock-bottom-regent-palace-hotel-113971.html
"Rodeo Grill
","Crescent Rd, Palm Jumeirah",Abu Dhabi,04-3963888,282947,/rodeo-grill-175622.html
"Ronda Locatelli
","Jumeirah Al Etihad Towers, Al Khubeirah",Dubai,02-6979012,114586,/ronda-locatelli-125572.html
"Rosewater
",Corniche Road,Abu Dhabi,04-4262626,72535,/rosewater-175718.html
"Rosina Bellina Restaurant
","Millenium Tower, Shk Zayed Road",Abu Dhabi,02-8115555,35980,/rosina-bellina-restaurant-168560.html
"Rossovivo
","Grand Shopping Mall, Al Quoz",Dubai,02-6390587,234480,/rossovivo-175774.html
Name,Location,City,Phone,P.O BOX,Companylink
"Sabir Afghan Restaurant
","318 Road, Near Grand City Mall, Al Quoz",Dubai,052-4243516,27680,/sabir-afghan-restaurant-175590.html
"Saca Advertising LLC
",Al Maktoum St,Dubai,04-2563531,20256,/saca-advertising-llc-152647.html
"Sacci
","Bhnd Dubai Islamic Bank, National Paints, Al Muweilah",Abu Dhabi,02-6169999,67993,/sacci-175719.html
"Sadaf
","Near Dana Hotel, TCA",Dubai,04-2221622,82041,/sadaf-105428.html
"Sadaf Wa Marjan Restaurant LLC
","Jamal Abdul Naser Rd, Al Majaz",Sharjah,06-5356030,28146,/sadaf-wa-marjan-restaurant-llc-146560.html
"Safari Bruasted Chicken & Refreshment
","Near UAE Exchange, Rolla Sq",Abu Dhabi,02-6450003,89051,/safari-bruasted-chicken-refreshment-131680.html
"Safeer Al Mandi
","Near Al Ansari Exchange, Al Arooba St",Sharjah,06-5444225,241473,/safeer-al-mandi-147688.html
"Safire Restaurant
",Abu Shagara,Sharjah,06-5614393,1443,/safire-restaurant-112392.html
Name,Location,City,Phone,P.O BOX,Companylink
"Salim Ali Salim Restaurant
",Al Dagaya Street,Dubai,04-2261383,5133,/salim-ali-salim-restaurant-101163.html
"Sama Al Akawi Restaurant
",Al Nahda 2,Abu Dhabi,052-2610444,8375,/sama-al-akawi-restaurant-175511.html
"Sama Al Khaleej Pastry
","Al Qasimiya St, Al Ghubaiba",Dubai,052-2610555,125981,/sama-al-khaleej-pastry-175228.html
"Samakmk Restaurant
","Near Al Sahaba Mosque, TCA",Sharjah,04-2390916,4893,/samakmk-restaurant-147326.html
"Samiramis Cafeteria
",Meena Rd,Abu Dhabi,050-9781207,20249,/samiramis-cafeteria-175494.html
"Samurai Japanese Restaurant
",Mussafah,Abu Dhabi,06-5676703,32002,/samurai-japanese-restaurant-118744.html
"Sanaya Al Thoufeeque Rest
","One Omniyat Tower, Business Bay",Abu Dhabi,02-6459034,333327,/sanaya-al-thoufeeque-rest-126030.html
"Sandwichy
",Al Qusais,Dubai,050-5667901,91753,/sandwichy-175303.html
"Sangeet Indian Multicuisine Restaurant
",Karama,Dubai,02-6766612,94637,/sangeet-indian-multicuisine-restaurant-103524.html
"Sangeeta Veg Restaurant
",Karama,Dubai,02-5559923,33228,/sangeeta-veg-restaurant-133361.html
"Sangeetha Vegetarian Restaurant LLC
",Qusais,Dubai,800245245,44489,/sangeetha-vegetarian-restaurant-llc-108479.html
Name,Location,City,Phone,P.O BOX,Companylink
"Sayad Bahar Restaurant
",Al Garhoud,Dubai,04-2288003,24611,/sayad-bahar-restaurant-175537.html
"Sayad Seafood
","Emirates Palace, Al Ras Al Akhdar",Abu Dhabi,02-6907999,11449,/sayad-seafood-175740.html
"Scantic Restaurant
","Near Bus Station, Satwa",Dubai,04-3492162,60522,/scantic-restaurant-125036.html
"Sea Mood Restaurant
","Mankhool Road, Satwa",Dubai,04-3857977,23684,/sea-mood-restaurant-175777.html
Name,Location,City,Phone,P.O BOX,Companylink
"Shahi Mughal Restaurant
","Beside Muncipality office, Satwa",Dubai,04-3440051,75232,/shahi-mughal-restaurant-175315.html
"Shahi Tandoor
","Zabeel Road, Karama",Dubai,052-5943286,48636,/shahi-tandoor-67451.html
"Shaikh Al Mandi Restaurant
",Al Barsha 1,Dubai,04-3583583,79328,/shaikh-al-mandi-restaurant-68546.html
"Shakespeare And Co
","Mubarak Al Jafla W/H, Street 12 , Al Quoz Indl Area 2",Jebel Ali,04-3929932,29128,/shakespeare-and-co-145285.html
"Shaklan Restaurant
","Beach Road, Jumeirah 3",Dubai,04-8854330,46539,/shaklan-restaurant-143790.html
"Shako Mako
","Damascus St, Al Qusais",Dubai,04-3285533,37942,/shako-mako-175569.html
Name,Location,City,Phone,P.O BOX,Companylink
